wavelength value1 value2
797.3564860 1.5549406 1990.0000000
797.4009480 1.5548539 2051.0000000
797.4454100 1.5547672 2174.0000000
797.4898720 1.5546805 2077.0000000
797.5343340 1.5545938 2199.0000000
797.5787960 1.5545072 2257.0000000
797.6232580 1.5544205 2233.0000000
797.6677200 1.5543339 2291.0000000
797.7121820 1.5542473 2362.0000000
797.7566440 1.5541606 2419.0000000
797.8011060 1.5540740 2362.0000000
797.8455680 1.5539874 2425.0000000
797.8900300 1.5539008 2527.0000000
797.9344920 1.5538142 2555.0000000
797.9789540 1.5537277 2592.0000000
798.0234160 1.5536411 2590.0000000
798.0678780 1.5535545 2586.0000000
798.1123400 1.5534680 2658.0000000
798.1568020 1.5533814 2673.0000000
798.2012640 1.5532949 2757.0000000
798.2457260 1.5532084 2877.0000000
798.2901880 1.5531219 2824.0000000
798.3346500 1.5530354 2937.0000000
798.3791120 1.5529489 2983.0000000
798.4235740 1.5528624 3079.0000000
798.4680360 1.5527760 3080.0000000
798.5124980 1.5526895 3035.0000000
798.5569600 1.5526030 3161.0000000
798.6014220 1.5525166 3169.0000000
798.6458840 1.5524302 3211.0000000
798.6903460 1.5523438 3305.0000000
798.7348080 1.5522573 3478.0000000
798.7792700 1.5521709 3468.0000000
798.8237320 1.5520845 3550.0000000
798.8681940 1.5519982 3567.0000000
798.9126560 1.5519118 3569.0000000
798.9571180 1.5518254 3655.0000000
799.0015800 1.5517391 3723.0000000
799.0460420 1.5516527 3875.0000000
799.0905040 1.5515664 3737.0000000
799.1349660 1.5514801 3956.0000000
799.1794280 1.5513938 3920.0000000
799.2238900 1.5513074 3954.0000000
799.2683520 1.5512211 4075.0000000
799.3128140 1.5511349 4076.0000000
799.3572760 1.5510486 4317.0000000
